name,patch_size,d_model,n_heads,num_layers,pooling,activation,dropout,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
tf_p16_d256_h8_L1_attn_gelu_t0,16,256,8,1,attn,gelu,0.2,0.002,-,-,-,16,85,1.3892791244034954,nan,1287.6
tf_p16_d384_h8_L2_mean_relu_t1,16,384,8,2,mean,relu,0.1,0.003,-,-,-,16,120,1.008158381897213,nan,4629.6
tf_p32_d128_h8_L1_attn_relu_t2,32,128,8,1,attn,relu,0.2,0.001,-,-,-,16,120,0.9838332409551789,nan,975.2
tf_p16_d192_h4_L1_mean_relu_t3,16,192,4,1,mean,relu,0.1,0.001,-,-,-,64,120,0.9304327361343133,nan,994.2
tf_p32_d384_h8_L2_attn_gelu_t4,32,384,8,2,attn,gelu,0.0,0.002,-,-,-,16,55,1.8664133142713648,nan,873.8
tf_p16_d192_h4_L2_mean_relu_t5,16,192,4,2,mean,relu,0.1,0.001,-,-,-,16,120,0.9501907646036611,nan,2468.2
tf_p64_d256_h4_L2_attn_gelu_t6,64,256,4,2,attn,gelu,0.1,0.001,-,-,-,16,120,0.971969183063571,nan,1463.9
tf_p64_d256_h2_L2_attn_gelu_t7,64,256,2,2,attn,gelu,0.0,0.002,-,-,-,32,120,0.9935032731728229,nan,819.5
tf_p32_d256_h2_L2_attn_relu_t8,32,256,2,2,attn,relu,0.1,0.003,-,-,-,64,75,1.7423717814965654,nan,542.3
tf_p64_d192_h4_L2_attn_gelu_t9,64,192,4,2,attn,gelu,0.0,0.001,-,-,-,64,120,0.9532141761015694,nan,477.4
tf_p32_d256_h8_L1_mean_gelu_t10,32,256,8,1,mean,gelu,0.1,0.003,-,-,-,16,120,0.9602936295666952,nan,1461.1
tf_p32_d256_h8_L1_mean_gelu_t11,32,256,8,1,mean,gelu,0.2,0.003,-,-,-,32,120,0.9680085211962292,nan,903.9
tf_p16_d192_h8_L2_attn_gelu_t12,16,192,8,2,attn,gelu,0.0,0.002,-,-,-,16,120,0.9619835761422244,nan,2585.9
tf_p16_d192_h4_L2_mean_gelu_t13,16,192,4,2,mean,gelu,0.2,0.001,-,-,-,16,120,0.9403612211851158,nan,2483.4
tf_p64_d256_h8_L2_mean_gelu_t14,64,256,8,2,mean,gelu,0.2,0.001,-,-,-,16,120,0.9443945935857084,nan,1463.4
tf_p64_d384_h4_L1_mean_gelu_t15,64,384,4,1,mean,gelu,0.2,0.002,-,-,-,64,120,0.9512749711139626,nan,594.1
tf_p16_d192_h2_L2_mean_relu_t16,16,192,2,2,mean,relu,0.0,0.001,-,-,-,64,120,0.9375977526165038,nan,1386.5
tf_p32_d384_h2_L2_attn_relu_t17,32,384,2,2,attn,relu,0.0,0.001,-,-,-,32,120,1.013393678243153,nan,1729.8
tf_p16_d256_h4_L2_mean_gelu_t18,16,256,4,2,mean,gelu,0.0,0.003,-,-,-,32,120,0.9488914760414722,nan,2086.5
tf_p32_d256_h8_L2_mean_relu_t19,32,256,8,2,mean,relu,0.0,0.003,-,-,-,64,120,0.9272637141258414,nan,967.4
tf_p32_d256_h8_L1_attn_gelu_t20,32,256,8,1,attn,gelu,0.2,0.003,-,-,-,64,120,1.417850244896467,nan,649.4
tf_p64_d192_h2_L2_mean_gelu_t21,64,192,2,2,mean,gelu,0.0,0.001,-,-,-,32,120,0.958584544625092,nan,657.2
tf_p64_d256_h8_L1_attn_relu_t22,64,256,8,1,attn,relu,0.2,0.003,-,-,-,32,70,1.894579049368413,nan,373.9
tf_p16_d256_h2_L1_mean_gelu_t23,16,256,2,1,mean,gelu,0.0,0.002,-,-,-,16,120,0.9420485541679058,nan,1705.8
tf_p16_d128_h4_L2_mean_relu_t24,16,128,4,2,mean,relu,0.1,0.002,-,-,-,64,120,0.9601591571321273,nan,1248.6
tf_p16_d128_h8_L1_attn_gelu_t25,16,128,8,1,attn,gelu,0.2,0.002,-,-,-,16,120,0.9632384684355196,nan,1463.9
tf_p32_d128_h4_L1_attn_relu_t26,32,128,4,1,attn,relu,0.0,0.003,-,-,-,16,120,0.9614929461135506,nan,951.4
tf_p32_d256_h8_L2_attn_gelu_t27,32,256,8,2,attn,gelu,0.2,0.001,-,-,-,32,120,0.9982047069404415,nan,1388.5
tf_p16_d384_h2_L1_attn_gelu_t28,16,384,2,1,attn,gelu,0.2,0.001,-,-,-,16,120,1.4821633671579288,nan,2718.3
tf_p64_d128_h2_L1_mean_gelu_t29,64,128,2,1,mean,gelu,0.2,0.002,-,-,-,64,120,0.9927519121067739,nan,244.6
tf_p32_d256_h2_L2_attn_relu_t30,32,256,2,2,attn,relu,0.2,0.002,-,-,-,32,120,1.2755963079009407,nan,1185.5
tf_p64_d192_h8_L1_mean_gelu_t31,64,192,8,1,mean,gelu,0.0,0.001,-,-,-,32,120,0.9351140956650075,nan,553.4
tf_p64_d256_h2_L1_mean_relu_t32,64,256,2,1,mean,relu,0.0,0.001,-,-,-,16,120,0.9583654161511433,nan,1443.2
